Date,Grind Size,Beans (g),Water (ml),Method,Commenter,Comment
2024-01-27,39,15,250,Hoff v60 1 cup,Parker,"acidic, liked strength, could be stronger"
2024-01-27,39,15,250,Hoff V60 1 cup,Joseph,"acidic, slightly too weak"
